,IDcensus,census_city,state,Pop2010,Pop2011,Pop2012,Pop2013,Pop2014,Pop2015,Pop2016,Pop2017,Pop2018,Pop2019,citystate,state_id,lat,lng
0,225,Abilene,Texas,117805,118762,119853,119797,120648,121707,121883,122186,122775,123420,"Abilene, Texas",TX,32.4543,-99.7384
1,125,Akron,Ohio,199081,199112,198969,198972,199008,198588,198068,198085,197884,197597,"Akron, Ohio",OH,41.0798,-81.5219
2,454,Alameda,California,73946,74692,75637,76479,77509,78459,79091,79037,78344,77624,"Alameda, California",CA,37.766999999999996,-122.2672
3,502,Albany,Georgia,77420,77893,77537,76416,75940,74891,73957,73252,73219,72130,"Albany, Georgia",GA,31.5776,-84.1762
4,328,Albany,New York,97753,97956,98409,98488,98366,98232,97941,97735,97011,96460,"Albany, New York",NY,42.6664,-73.7987
5,697,Albany,Oregon,50327,50946,51017,50937,51343,51659,52716,53524,54518,55338,"Albany, Oregon",OR,44.6274,-123.0966
6,32,Albuquerque,New Mexico,546755,552066,555002,557445,557444,557937,559192,559673,559629,560513,"Albuquerque, New Mexico",NM,35.1053,-106.6464
7,159,Alexandria,Virginia,140729,144219,147291,149637,151375,153654,156698,159215,159069,159428,"Alexandria, Virginia",VA,38.8185,-77.0861
8,411,Alhambra,California,83160,83594,84120,84337,84786,84843,85221,84878,84373,83750,"Alhambra, California",CA,34.084,-118.1355
9,771,Aliso Viejo,California,47801,48474,49038,49538,49542,49499,50858,50982,51206,50887,"Aliso Viejo, California",CA,33.5792,-117.7289
10,292,Allen,Texas,84921,87680,89812,92173,94215,98344,99742,101214,103577,105623,"Allen, Texas",TX,33.1088,-96.6735
11,232,Allentown,Pennsylvania,118113,118782,118878,118826,119167,120071,120420,121047,121537,121442,"Allentown, Pennsylvania",PA,40.5961,-75.4756
12,552,Alpharetta,Georgia,57691,59141,61577,61937,62693,63337,65411,65734,66257,67213,"Alpharetta, Georgia",GA,34.0704,-84.2739
13,118,Amarillo,Texas,191249,193763,195404,196248,197200,197816,198694,199722,199183,199371,"Amarillo, Texas",TX,35.1988,-101.8311
14,564,Ames,Iowa,59098,60440,61427,63053,64773,65685,65915,66301,66001,66258,"Ames, Iowa",IA,42.0259,-93.6215
15,55,Anaheim,California,336760,339831,342071,343832,344604,348251,350013,350476,350698,350365,"Anaheim, California",CA,33.839,-117.8572
16,708,Anderson,Indiana,56065,55798,55441,55465,55252,55020,54985,54898,54883,54765,"Anderson, Indiana",IN,40.0891,-85.6893
17,547,Ankeny,Iowa,45845,47043,48363,50785,53299,56109,58609,62365,65248,67355,"Ankeny, Iowa",IA,41.7285,-93.6033
18,236,Ann Arbor,Michigan,114173,115539,116079,116820,118716,119884,120919,121493,121429,119980,"Ann Arbor, Michigan",MI,42.2755,-83.7312
19,266,Antioch,California,103080,104193,105565,107351,109071,110308,111088,111494,111578,111502,"Antioch, California",CA,37.9789,-121.7958
20,731,Apopka,Florida,42407,43765,45103,46238,47796,49109,50486,52277,53557,53447,"Apopka, Florida",FL,28.7014,-81.5304
21,699,Apple Valley,Minnesota,49146,49492,49721,49925,50195,50950,51938,52390,54065,55135,"Apple Valley, Minnesota",MN,44.7457,-93.2006
22,485,Appleton,Wisconsin,72704,72921,73128,73591,74001,74151,74392,74524,74378,74098,"Appleton, Wisconsin",WI,44.2779,-88.3891
23,665,Arcadia,California,56322,56594,56801,57215,57513,57835,58238,58374,58385,57939,"Arcadia, California",CA,34.1342,-118.0373
24,49,Arlington,Texas,365892,370253,375629,378950,382721,388728,394384,397173,398123,398854,"Arlington, Texas",TX,32.6998,-97.125
25,235,Arvada,Colorado,106917,108084,110229,111872,113692,115406,117710,118950,120421,121272,"Arvada, Colorado",CO,39.8321,-105.1511
26,357,Asheville,North Carolina,83459,84457,85321,86355,87837,89374,91123,91748,92630,92870,"Asheville, North Carolina",NC,35.5704,-82.5536
27,37,Atlanta,Georgia,429410,437812,449016,453990,461154,468303,479174,491670,498183,506811,"Atlanta, Georgia",GA,33.7627,-84.4224
28,563,Auburn,Alabama,53785,54950,57149,58816,60372,61754,62773,63927,65495,66259,"Auburn, Alabama",AL,32.6087,-85.4899
29,425,Auburn,Washington,70560,71748,73474,74924,76198,77479,78725,81333,81789,81464,"Auburn, Washington",WA,47.3039,-122.2108
30,54,Aurora,Colorado,326055,332730,339261,345613,352660,360098,363277,367574,374572,379289,"Aurora, Colorado",CO,39.7087,-104.7273
31,124,Aurora,Illinois,198207,199150,199648,199803,200189,200315,200799,200391,199199,197757,"Aurora, Illinois",IL,41.7637,-88.2901
32,11,Austin,Texas,806164,828459,854482,875003,901170,921114,939447,951553,962469,978908,"Austin, Texas",TX,30.3004,-97.7522
33,382,Avondale,Arizona,76232,77279,78718,79745,80726,81924,83288,84742,85715,87931,"Avondale, Arizona",AZ,33.3858,-112.3236
34,52,Bakersfield,California,348987,353221,357312,362834,366954,371348,374699,377940,381714,384145,"Bakersfield, California",CA,35.3529,-119.0359
35,473,Baldwin Park,California,75421,75750,76183,76364,76375,76427,76219,75948,75572,75251,"Baldwin Park, California",CA,34.0829,-117.9721
